First_Data_Set_Name,Second_Data_Set_Name,Wasserstein_Distance_Normalized,Wasserstein_Distance_Not_Normalized
simdata_hardware_sim23_Hardware_Sim_23_Run_8_[36-40]_iteration_4_SimUser002_converted_and_labeled_data.gz,simdata_hardware_sim23_Hardware_Sim_23_Run_11_[51-55]_iteration_0_SimUser004_converted_and_labeled_data.gz,3.567936865501455e-05,763.6086956521737
simdata_hardware_sim23_Hardware_Sim_23_Run_8_[36-40]_iteration_4_SimUser002_converted_and_labeled_data.gz,simdata_hardware_sim23_Hardware_Sim_23_Run_2_[6-10]_iteration_4_SimUser004_converted_and_labeled_data.gz,0.00030409623156124133,2859.6086956521735
simdata_hardware_sim23_Hardware_Sim_23_Run_8_[36-40]_iteration_4_SimUser002_converted_and_labeled_data.gz,simdata_hardware_sim23_Hardware_Sim_23_Run_12_[56-60]_iteration_4_SimUser004_converted_and_labeled_data.gz,2.4641863857437684e-05,1418.5217391304343
simdata_hardware_sim23_Hardware_Sim_23_Run_8_[36-40]_iteration_4_SimUser002_converted_and_labeled_data.gz,simdata_hardware_sim23_Hardware_Sim_23_Run_10_[46-50]_iteration_0_SimUser004_converted_and_labeled_data.gz,2.4406259911868883e-05,654.9565217391302
simdata_hardware_sim23_Hardware_Sim_23_Run_8_[36-40]_iteration_4_SimUser002_converted_and_labeled_data.gz,simdata_hardware_sim23_Hardware_Sim_23_Run_8_[36-40]_iteration_4_SimUser004_converted_and_labeled_data.gz,2.700154192587896e-05,673.9583333333334
simdata_hardware_sim23_Hardware_Sim_23_Run_8_[36-40]_iteration_4_SimUser002_converted_and_labeled_data.gz,simdata_hardware_sim23_Hardware_Sim_23_Run_11_[51-55]_iteration_3_SimUser004_converted_and_labeled_data.gz,3.754323822592707e-05,840.3043478260868
simdata_hardware_sim23_Hardware_Sim_23_Run_8_[36-40]_iteration_4_SimUser002_converted_and_labeled_data.gz,simdata_hardware_sim23_Hardware_Sim_23_Run_10_[46-50]_iteration_3_SimUser004_converted_and_labeled_data.gz,2.8848220855513876e-05,542.478260869565
simdata_hardware_sim23_Hardware_Sim_23_Run_8_[36-40]_iteration_4_SimUser002_converted_and_labeled_data.gz,simdata_hardware_sim23_Hardware_Sim_23_Run_8_[36-40]_iteration_2_SimUser004_converted_and_labeled_data.gz,1.6021478296317785e-05,444.52173913043475
simdata_hardware_sim23_Hardware_Sim_23_Run_8_[36-40]_iteration_4_SimUser002_converted_and_labeled_data.gz,simdata_hardware_sim23_Hardware_Sim_23_Run_9_[41-45]_iteration_3_SimUser004_converted_and_labeled_data.gz,2.2209512635467693e-05,556.1304347826085
simdata_hardware_sim23_Hardware_Sim_23_Run_8_[36-40]_iteration_4_SimUser002_converted_and_labeled_data.gz,simdata_hardware_sim23_Hardware_Sim_23_Run_12_[56-60]_iteration_2_SimUser004_converted_and_labeled_data.gz,1.6712945111131228e-05,751.4782608695651
